age_d;age_h;T;H_a;Cpm;psi_x;rho
7;19;8.9;47;0.177021792543945;-6.0292099999973;324.614130430007
7;20;7.5;53;0.0531697341513299;-3.94331395348838;324.352912657979
7;21;7.2;64;0.0531697341513292;-3.94331395348837;324.091694885951
7;22;6.7;72;0.0531697341513292;-3.94331395348837;323.830477113923
7;23;6;67;0.0531697341513292;-3.94331395348837;323.569259341895
7;24;5.5;72;0.0531697341513292;-3.94331395348837;323.308041569866
8;1;4.8;75;0.0531697341513292;-3.94331395348837;323.046823797838
8;2;4.8;72;0.0531697341513292;-3.94331395348837;322.78560602581
8;3;5.3;72;0.0531697341513292;-3.94331395348837;322.524388253782
8;4;5.1;76;0.0531697341513292;-3.94331395348837;322.263170481754
8;5;5.2;73;0.0531697341513292;-3.94331395348837;322.001952709725
8;6;5.9;70;0.0531697341513292;-3.94331395348837;321.740734937697
8;7;7.3;67;0.0531697341513292;-3.94331395348837;321.479517165669
8;8;9.4;61;0.0531697341513312;-3.9433139534884;321.218299393641
8;9;11.5;49;0.177021792543947;-6.02920999999732;320.957081621613
8;10;12.2;46;0.292433537832309;-7.97295567804286;320.695863849584
8;11;13;43;0.391539850301948;-9.6420879318579;320.434646077556
8;12;14.4;43;0.467586798538975;-10.9228581567163;320.173428305528
8;13;13.6;42;0.515391908694564;-11.7279839783668;319.9122105335
8;14;14.2;44;0.531697341513292;-12.0025974025974;319.650992761472
8;15;15.1;41;0.515391908694564;-11.7279839783668;319.389774989443
8;16;15.1;40;0.467586798538976;-10.9228581567163;319.128557217415
8;17;14.3;46;0.391539850301946;-9.64208793185785;318.867339445387
8;18;10.9;73;0.292433537832311;-7.97295567804289;318.606121673359
8;19;9.4;86;0.177021792543948;-6.02920999999735;318.344903901331
8;20;8.2;92;0.0531697341513292;-3.94331395348837;318.083686129303
8;21;7.4;95;0.0531697341513292;-3.94331395348837;317.822468357274
8;22;8.3;93;0.0531697341513292;-3.94331395348837;317.561250585246
8;23;7.4;77;0.0531697341513292;-3.94331395348837;317.300032813218
8;24;6.4;83;0.0531697341513292;-3.94331395348837;317.03881504119
9;1;6.2;85;0.0531697341513292;-3.94331395348837;316.777597269162
9;2;5.9;80;0.0531697341513292;-3.94331395348837;316.516379497133
9;3;5.3;79;0.0531697341513292;-3.94331395348837;316.255161725105
9;4;5.1;82;0.0531697341513292;-3.94331395348837;315.993943953077
9;5;4.6;86;0.0531697341513292;-3.94331395348837;315.732726181049
9;6;5.2;83;0.0531697341513292;-3.94331395348837;315.471508409021
9;7;7.2;69;0.0531697341513292;-3.94331395348837;315.210290636992
9;8;8.6;51;0.0531697341513312;-3.9433139534884;314.949072864964
9;9;9.6;45;0.177021792543947;-6.02920999999732;314.687855092936
9;10;10.1;41;0.292433537832309;-7.97295567804286;314.426637320908
9;11;11.3;36;0.391539850301948;-9.6420879318579;314.16541954888
9;12;11.8;33;0.467586798538975;-10.9228581567163;313.904201776852
9;13;12.2;32;0.515391908694564;-11.7279839783668;313.642984004823
9;14;12.9;31;0.531697341513292;-12.0025974025974;313.381766232795
9;15;12.9;29;0.515391908694564;-11.7279839783668;313.120548460767
9;16;13;27;0.467586798538976;-10.9228581567163;312.859330688739
9;17;12.6;28;0.391539850301946;-9.64208793185785;312.598112916711
9;18;11.4;31;0.292433537832311;-7.97295567804289;312.336895144682
9;19;9.2;37;0.177021792543948;-6.02920999999735;312.075677372654
9;20;7;46;0.0531697341513292;-3.94331395348837;311.814459600626
9;21;6;50;0.0531697341513292;-3.94331395348837;311.553241828598
9;22;5.5;57;0.0531697341513292;-3.94331395348837;311.29202405657
9;23;5.7;54;0.0531697341513292;-3.94331395348837;311.030806284541
9;24;5.7;52;0.0531697341513292;-3.94331395348837;310.769588512513
10;1;5;57;0.0531697341513292;-3.94331395348837;310.508370740485
10;2;3.9;65;0.0531697341513292;-3.94331395348837;310.247152968457
10;3;3.5;68;0.0531697341513292;-3.94331395348837;309.985935196429
10;4;3.6;68;0.0531697341513292;-3.94331395348837;309.724717424401
10;5;3.1;72;0.0531697341513292;-3.94331395348837;309.463499652372
10;6;4.5;69;0.0531697341513292;-3.94331395348837;309.202281880344
10;7;7.2;58;0.0531697341513292;-3.94331395348837;308.941064108316
10;8;9.9;44;0.0531697341513312;-3.9433139534884;308.679846336288
10;9;12.4;39;0.177021792543947;-6.02920999999732;308.41862856426
