age_d;age_h;pip;piv;pp;pv;sfstone;af;ctcs;pif;tf;cv;ua;ux1;up1;khx;khp;ux;up;masfls;pasfls;rM;rG;w;s;pf1;pf2;pf;v;dD;mSol;mSta;mSyn
3;13;25.036;25.036;13.308;13.308;0.0000;0.57039;0.00027280;12.319;0.0017831;0.17642;0.00015156;0.0000;0.0000;0.00016858;2.2189e-05;9.9704e-05;1.3124e-05;0.0000;9.1500e-08;1.7914e-06;1.6057e-05;0.030617;0.012982;0.85556;0.0000;0.0000;0.038730;-21.142;0.00060137;0.00010133;0.0050710
3;14;25.422;25.422;13.420;13.420;0.0000;0.55704;0.00027864;12.456;0.0016902;0.18200;0.00015457;0.0000;0.0000;0.00016463;2.1670e-05;7.4700e-05;9.8326e-06;0.0000;9.2538e-08;1.7869e-06;1.6380e-05;0.028989;0.013117;0.85562;0.0000;0.0000;0.037187;-21.917;0.00058158;0.00010128;0.0051477
3;15;25.023;25.023;13.295;13.295;0.0000;0.54414;0.00028601;12.633;0.0017038;0.17642;0.00015463;0.0000;0.0000;0.00016082;2.1168e-05;0.00014549;1.9151e-05;0.0000;8.5659e-08;1.7940e-06;1.6385e-05;0.027427;0.013253;0.85584;0.0000;0.0000;0.035711;-22.685;0.00056480;0.00010122;0.0052220
3;16;23.825;23.825;12.902;12.902;0.0000;0.53329;0.00029390;12.799;0.0014690;0.16005;0.00015133;0.0000;0.0000;0.00015761;2.0746e-05;0.00029578;3.8933e-05;0.0000;7.2001e-08;1.6996e-06;1.6040e-05;0.026105;0.013388;0.87656;0.0000;0.0000;0.034473;-23.431;0.00055240;0.00010116;0.0052914
3;17;21.959;21.959;12.317;12.317;0.0000;0.52582;0.00030111;12.951;0.0013548;0.13402;0.00014347;0.0000;0.0000;0.00015540;2.0455e-05;0.00051423;6.7687e-05;0.0000;5.2886e-08;1.6198e-06;1.5204e-05;0.025164;0.013519;0.89651;0.0000;0.0000;0.033613;-24.138;0.00054555;0.00010110;0.0053532
3;18;19.550;19.550;11.577;11.577;0.0000;0.52249;0.00030688;13.067;0.0011033;0.10010;0.00012843;0.0000;0.0000;0.00015442;2.0326e-05;0.00078665;0.00010354;0.0000;2.9534e-08;1.5425e-06;1.3598e-05;0.024684;0.013639;0.92972;0.0000;0.0000;0.033209;-24.806;0.00054540;0.00010104;0.0054041
3;19;16.766;16.766;10.737;10.737;0.0000;0.52304;0.00031165;13.158;0.00088075;0.060595;0.00010030;0.0000;0.0000;0.00015458;2.0347e-05;0.00095300;0.00012544;0.0000;2.9638e-09;1.4668e-06;1.0590e-05;0.024642;0.013741;0.96419;2.4510;0.96419;0.033230;-25.438;0.00055293;0.00010098;0.0054395
3;20;13.794;13.794;9.8507;9.8507;0.0000;0.52951;0.00031097;13.093;0.00039964;0.018200;4.3325e-05;0.0000;0.0000;0.00015649;2.0599e-05;0.0012733;0.00016760;0.0000;-2.5202e-08;1.3046e-06;4.4995e-06;0.025275;0.013807;1.0130;7.0449;1.0130;0.033905;-26.010;0.00056591;0.00010092;0.0054544
3;21;13.791;13.791;9.8481;9.8481;0.0000;0.53975;0.00030434;12.920;0.00032747;0.018200;4.3429e-05;0.0000;0.0000;0.00015952;2.0997e-05;0.0012701;0.00016718;0.0000;-2.4878e-08;1.2588e-06;4.5156e-06;0.026354;0.013845;1.0150;7.3122;1.0150;0.035007;-26.531;0.00057748;0.00010086;0.0054587
3;22;13.791;13.791;9.8481;9.8481;0.0000;0.55029;0.00029775;12.764;0.00031076;0.018200;4.3533e-05;0.0000;0.0000;0.00016263;2.1407e-05;0.0012696;0.00016712;0.0000;-2.4541e-08;1.2622e-06;4.5264e-06;0.027476;0.013882;1.0138;7.2788;1.0138;0.036152;-27.040;0.00058901;0.00010081;0.0054631
